;ID;Nr;Messtag;Name;Fahrbahn;Belag;Manoever;Geschwindigkeit;Fahrzeug;Reifen;Reifendruck;Witterung;Stoerung;Mikrofon;Position
0;0;0;1;Stillstand Motor aus;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
1;1;0;1;Stillstand Motor aus;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
2;2;1;1;Stillstand Leerlauf;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
3;3;1;1;Stillstand Leerlauf;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
4;4;2;1;Stillstand Drehzahlerhoehung;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
5;5;2;1;Stillstand Drehzahlerhoehung;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
6;6;3;1;Konstantfahrt Asphalt trocken;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
7;7;3;1;Konstantfahrt Asphalt trocken;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
8;8;4;1;Konstantfahrt Asphalt trocken;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
9;9;4;1;Konstantfahrt Asphalt trocken;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
10;10;5;1;Konstantfahrt Asphalt trocken;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
11;11;5;1;Konstantfahrt Asphalt trocken;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
12;12;6;1;Konstantfahrt Beton trocken;Oval;Beton;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
13;13;6;1;Konstantfahrt Beton trocken;Oval;Beton;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
14;14;7;1;Konstantfahrt Beton trocken;Oval;Beton;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
15;15;7;1;Konstantfahrt Beton trocken;Oval;Beton;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
16;16;8;1;Konstantfahrt Beton trocken;Oval;Beton;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
17;17;8;1;Konstantfahrt Beton trocken;Oval;Beton;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
18;18;9;1;Konstantfahrt Blaubasalt trocken;Oval;Blaubasalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
19;19;9;1;Konstantfahrt Blaubasalt trocken;Oval;Blaubasalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
20;20;10;1;Konstantfahrt Blaubasalt trocken;Oval;Blaubasalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
21;21;10;1;Konstantfahrt Blaubasalt trocken;Oval;Blaubasalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
22;22;11;1;Konstantfahrt Blaubasalt trocken;Oval;Blaubasalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
23;23;11;1;Konstantfahrt Blaubasalt trocken;Oval;Blaubasalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
24;24;12;1;Konstantfahrt Stahl trocken;Oval;Stahlbahn;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
25;25;12;1;Konstantfahrt Stahl trocken;Oval;Stahlbahn;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
26;26;13;1;Konstantfahrt Stahl trocken;Oval;Stahlbahn;Konstantfahrt;40 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
27;27;13;1;Konstantfahrt Stahl trocken;Oval;Stahlbahn;Konstantfahrt;40 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
28;28;14;1;Konstantfahrt Stahl trocken;Oval;Stahlbahn;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
29;29;14;1;Konstantfahrt Stahl trocken;Oval;Stahlbahn;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
30;30;15;1;Beschleunigungsfahrt trocken;Oval;Asphalt;Beschleunigung;0 - 80 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
31;31;15;1;Beschleunigungsfahrt trocken;Oval;Asphalt;Beschleunigung;0 - 80 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
32;32;16;1;Rollen trocken;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
33;33;16;1;Rollen trocken;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
34;34;17;1;Motor aus trocken;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
35;35;17;1;Motor aus trocken;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
36;36;18;1;Teilbremsung Asphalt trocken;Oval;Asphalt;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
37;37;18;1;Teilbremsung Asphalt trocken;Oval;Asphalt;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
38;38;19;1;Teilbremsung Blaubasalt trocken;Oval;Blaubasalt;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
39;39;19;1;Teilbremsung Blaubasalt trocken;Oval;Blaubasalt;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
40;40;20;1;Teilbremsung Stahl trocken;Oval;Stahlbahn;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
41;41;20;1;Teilbremsung Stahl trocken;Oval;Stahlbahn;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
42;42;21;1;Vollbremsung Asphalt trocken;Oval;Asphalt;Vollbremsung;80 - 0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
43;43;21;1;Vollbremsung Asphalt trocken;Oval;Asphalt;Vollbremsung;80 - 0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
44;44;22;1;Vollbremsung Blaubasalt trocken;Oval;Blaubasalt;Vollbremsung;50 - 0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
45;45;22;1;Vollbremsung Blaubasalt trocken;Oval;Blaubasalt;Vollbremsung;50 - 0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
46;46;23;1;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
47;47;23;1;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
48;48;24;1;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
49;49;24;1;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
50;50;25;1;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Blaubasalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
51;51;25;1;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Blaubasalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
52;52;26;1;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Blaubasalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;1
53;53;26;1;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Blaubasalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kein;2
54;54;27;1;Parallelfahrt;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass/feucht;LKW/Sattelzug parallel;PCB - Kein;1
55;55;27;1;Parallelfahrt;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass/feucht;LKW/Sattelzug parallel;PCB - Kein;2
56;56;27;1;Parallelfahrt;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass/feucht;LKW/Sattelzug parallel;PCB - Kein;1
57;57;27;1;Parallelfahrt;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass/feucht;LKW/Sattelzug parallel;PCB - Kein;2
58;58;28;1;Ueberholvorgang passiv;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass/feucht;LKW/Sattelzug parallel;PCB - Kein;1
59;59;28;1;Ueberholvorgang passiv;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass/feucht;LKW/Sattelzug parallel;PCB - Kein;2
60;60;29;1;Ueberholvorgang aktiv;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass/feucht;LKW/Sattelzug parallel;PCB - Kein;1
61;61;29;1;Ueberholvorgang aktiv;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass/feucht;LKW/Sattelzug parallel;PCB - Kein;2
62;62;30;5;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8,7 bar;trocken;keine;PCB - Kein;1
63;63;30;5;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8,7 bar;trocken;keine;PCB - Kein;2
64;64;31;5;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8,7 bar;trocken;keine;PCB - Kein;1
65;65;31;5;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8,7 bar;trocken;keine;PCB - Kein;2
66;66;32;5;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8,7 bar;trocken;keine;PCB - Kein;1
67;67;32;5;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8,7 bar;trocken;keine;PCB - Kein;2
